TEAM,AdjOE,AdjDE,Tempo
South Florida,116.70969114445188,101.27866710675356,71.3576030226206
Florida St.,119.36680237589832,103.87921666497112,70.59484801578097
Washington,116.7087629234483,102.1082207092947,67.04189705318309
New Mexico,116.42566177288606,101.99330936835447,69.81538438978465
Virginia Tech,117.53293123292374,103.06090605541948,67.17593648584257
Grand Canyon,111.10845001207252,97.43970272080132,67.97922174316581
Boise St.,118.18430528341304,103.67722369443744,65.70727432900698
Minnesota,115.89113404330308,102.02818648826616,62.63542018048049
UCF,119.90460387624904,105.60637850770786,69.09474829384597
Stanford,117.04557798949104,103.61803007829124,66.98268773970693
Seton Hall,108.70604251080854,96.2453669159757,65.14435383353744
Arizona St.,115.13861668078697,102.23712338860548,69.199949577268
Northwestern,116.38124237685012,103.60526896590532,65.08615370771776
West Virginia,108.39677529676764,96.49884576551992,62.44637826026647
Mississippi,114.02838822172312,101.6505066286955,66.06323978199569
USC,113.03989897274394,101.22740213673808,70.71010304389829
Wake Forest,117.8243432456472,105.59042444408465,68.27942111317611
Tulsa,120.69937676624752,108.1673188710062,67.83273325427075
Northern Iowa,109.71315391188604,98.49583266655146,62.161626160678935
California,113.66166812225282,102.05251394471026,67.84605169705145
LSU,118.78249015026456,106.66489943514036,66.57470865434519
Akron,117.14105781461129,105.32725330464478,70.30168433043308
Butler,117.14705581891852,105.47108757202406,68.88579497300552
McNeese St.,113.12401146475804,101.98421775919311,66.11572591547912
Providence,120.7686466866598,109.0685239091766,71.3130316318828
Colorado,117.92446615360328,106.70908000986962,68.58886886270264
Marquette,111.6806362665258,101.074514583556,69.205663143229
Nevada,114.50096759339483,103.67291972926292,66.02028880793036
Georgetown,113.89876839639564,103.19988507451872,66.19581772703344
Oklahoma St.,118.399330245811,107.33235338214914,72.29698221244395
Belmont,120.00521907415344,108.89868524261614,68.95179704023394
Dayton,109.96001780652144,99.96595148871404,66.99898869412708
Syracuse,115.06491076714916,104.62222351016266,67.36583723348971
George Washington,117.22790336597669,106.88654661021502,69.31363712547041
Wichita St.,110.81075003414416,101.41995096133276,66.4939606711782
Creighton,114.80333170630504,105.20228869413526,67.34057901817434
Colorado St.,118.2994960398246,109.02558174212322,62.9503604821253
Miami OH,116.58937916414376,107.50835098895308,69.92685328847818
Utah Valley,112.25644337355445,103.5154621237625,68.61787913207336
Stephen F. Austin,112.4299420167046,103.74749963984218,65.7802241061418
Oregon,111.72418860570042,103.39663086205792,65.92123005768892
Hofstra,113.0799773465808,104.78504255488124,64.69937133315706
High Point,115.58750692479838,107.42687675280656,69.87585573761022
Yale,118.16975963046816,109.98029641233084,64.70956019577041
Xavier,117.19105773801088,109.18937550388986,70.29650990742917
Wyoming,114.5323043310256,106.7921822547729,66.31598131423023
Cal Baptist,107.406451234204,100.23315935785926,65.9145183615122
Notre Dame,114.9539000148512,107.31849051867792,66.02851241430791
Mississippi St.,112.77502934628517,105.47994692583194,69.48703332341064
Saint Joseph's,108.2418781133267,101.26942154421776,67.93415080628279
South Carolina,111.6907705439971,104.54306518891713,66.29045461429585
DePaul,106.68991270818674,99.940016709176,66.4368850519721
Kansas St.,112.67810824520764,105.55371545208156,72.65373373345561
Pittsburgh,112.59965997952015,105.52002025979358,63.6406788856998
Seattle,102.0197161548558,95.62134476868808,67.7271939401167
UNLV,115.61876567658344,108.53731079934164,69.91640662416843
Sam Houston St.,113.93375418899764,107.0435497424628,70.00412001540693
Davidson,110.1805534361684,103.54518914935846,63.678611825144486
Pacific,110.42275429723846,103.97847263169912,64.3835124840256
Maryland,111.72499166777588,105.78571830244104,66.27480644062098
Illinois St.,109.15824939900412,103.38998856771724,66.8053800326715
Illinois Chicago,109.5382495694903,103.79214984809776,66.26087586767916
St. Thomas,112.90665255210216,107.2492948974178,68.39101422202805
UC Irvine,103.85560418108754,98.7198683789002,68.21300468690018
Utah,114.76422016892484,109.28121708666566,66.28841409236163
North Dakota St.,111.2962841550393,106.01081177736556,66.34142937809409
Liberty,118.05460235016956,112.6263826271952,63.94859031041861
Rutgers,110.85149782155466,105.79032943486231,66.66937669257838
Hawaii,106.68466240853108,101.84774885869092,69.56143894806124
UT Rio Grande Valley,111.28610734649422,106.38333614016727,66.38038520018739
George Mason,110.49666239625728,106.20662902793832,63.6159953314008
Duquesne,110.6861156787739,106.6093730076862,68.81039794762737
UC San Diego,106.10768551506912,102.21192828139677,67.18005389624768
UNC Wilmington,110.22516077192692,106.2219710431794,64.94405576684059
Florida Atlantic,109.49547844501993,105.54294446469596,69.78115997007268
San Francisco,113.21124095095384,109.19023616516996,65.88108296822047
Washington St.,114.29181053481624,110.35953177923976,67.86573648808827
Montana St.,110.85158466903285,107.30696453757012,65.88529553258762
