Name,Team,G,PA,AB,H,HR,RBI,R
Victor Caratini,HOU,114,386,344,89,12,46,35
Leo Rivas,SEA,48,111,90,22,2,9,19
Lourdes Gurriel Jr.,ARI,129,546,500,124,19,80,52
Hyeseong Kim,LAD,71,170,161,45,3,17,19
Ezequiel Tovar,COL,95,390,360,91,9,33,44
Reese McGuire,CHC,45,140,133,30,9,24,17
Lars Nootbaar,STL,135,583,509,119,13,48,68
Tyrone Taylor,NYM,113,341,310,69,2,27,34
Joey Loperfido,TOR,41,104,96,32,4,14,12
Pavin Smith,ARI,87,288,244,63,8,28,36
Yoan Moncada,LAA,84,289,248,58,12,35,39
Dylan Beavers,BAL,35,137,110,25,4,14,16
Andruw Monasterio,MIL,68,135,126,34,4,16,19
James McCann,ARI,42,137,123,32,5,17,18
Starling Marte,NYM,98,329,293,79,9,34,37
Casey Schmitt,SFG,95,348,312,74,12,40,34
Luis Garcia Jr.,WSN,139,526,488,123,16,66,67
Adam Frazier,- - -,134,459,419,112,7,44,43
Javier Sanoja,MIA,120,342,313,76,6,38,40
Eli White,ATL,105,271,256,60,10,35,43
Chandler Simpson,TBR,109,441,414,122,0,26,53
Adolis Garcia,TEX,135,547,507,115,19,75,58
Ronny Mauricio,NYM,61,184,168,38,6,10,19
Isiah Kiner-Falefa,- - -,138,459,431,113,2,40,45
Derek Hill,- - -,57,149,134,29,3,11,19
Nick Allen,ATL,135,416,371,82,0,22,32
Mickey Moniak,COL,135,461,434,117,24,68,62
Michael Helman,TEX,38,110,99,23,5,20,18
Teoscar Hernandez,LAD,134,546,511,126,25,89,65
Jasson Dominguez,NYY,123,429,381,98,10,47,58
Andrew Vaughn,- - -,112,447,406,103,14,65,35
Max Kepler,PHI,127,474,417,90,18,52,58
Willi Castro,- - -,120,454,402,91,11,33,58
Colton Cowser,BAL,92,360,327,64,16,40,36
Matt Thaiss,- - -,60,190,156,34,1,16,16
Max Schuemann,ATH,101,213,183,36,2,13,20
Bryce Teodosio,LAA,50,150,138,28,1,7,12
Yordan Alvarez,HOU,48,199,165,45,6,27,17
Salvador Perez,KCR,155,641,597,141,30,100,54
Connor Norby,MIA,88,337,311,78,8,34,42
Christian Koss,SFG,76,191,174,46,3,23,25
Alek Thomas,ARI,143,469,433,108,9,38,51
Thomas Saggese,STL,82,295,275,71,2,25,25
Dominic Smith,SFG,63,225,204,58,5,33,26
Amed Rosario,- - -,63,191,181,50,6,23,20
