IDfg,Name,PA,H,R,RBI,HR,SB,SO,Base_Hit_Rate,Base_HR_Rate,Base_RBI_Rate,Base_R_Rate,Base_SB_Rate,Base_K_Rate
25764,Bobby Witt Jr.,2090,572,321,293,85,118,352,0.2736842105263158,0.04066985645933014,0.14019138755980862,0.1535885167464115,0.05645933014354067,0.16842105263157894
25768,CJ Abrams,1851,420,254,189,57,109,371,0.22690437601296595,0.03079416531604538,0.10210696920583469,0.13722312263641276,0.05888708806050783,0.20043219881145327
25816,Shea Langeliers,1057,241,131,152,60,11,248,0.228003784295175,0.05676442762535478,0.14380321665089876,0.1239356669820246,0.010406811731315043,0.2346263008514664
25878,Corbin Carroll,1971,443,344,234,78,121,408,0.22475900558092338,0.0395738203957382,0.1187214611872146,0.17453069507864027,0.061390157280568236,0.2070015220700152
25931,Michael Harris II,1180,300,131,143,38,40,229,0.2542372881355932,0.03220338983050847,0.1211864406779661,0.11101694915254237,0.03389830508474576,0.19406779661016949
25976,Riley Greene,1239,289,166,185,60,6,357,0.23325262308313155,0.048426150121065374,0.1493139628732849,0.13397901533494755,0.004842615012106538,0.288135593220339
26197,Andrew Vaughn,1234,286,122,150,40,2,261,0.23176661264181522,0.03241491085899514,0.12155591572123177,0.09886547811993517,0.0016207455429497568,0.21150729335494328
26288,Adley Rutschman,1325,306,152,159,39,2,204,0.2309433962264151,0.02943396226415094,0.12,0.11471698113207547,0.0015094339622641509,0.15396226415094338
26289,Gunnar Henderson,1992,478,303,242,82,61,455,0.2399598393574297,0.04116465863453815,0.1214859437751004,0.15210843373493976,0.030622489959839357,0.2284136546184739
26294,Bryson Stott,1771,416,209,185,39,87,284,0.23489553924336534,0.0220214568040655,0.10446075663466968,0.11801242236024845,0.04912478825522304,0.1603613777526821
26299,Josh Jung,1026,248,128,131,37,5,280,0.24171539961013644,0.036062378167641324,0.1276803118908382,0.12475633528265107,0.004873294346978557,0.2729044834307992
26319,Michael Busch,1159,260,151,155,55,6,301,0.22433132010353754,0.04745470232959448,0.13373597929249353,0.13028472821397757,0.005176876617773943,0.25970664365832613
26323,Spencer Steer,1889,408,214,253,64,47,405,0.21598729486500795,0.03388035997882478,0.1339332980412917,0.11328745367919534,0.024880889359449446,0.21439915299100054
26368,JJ Bleday,642,139,74,60,20,2,125,0.21651090342679127,0.03115264797507788,0.09345794392523364,0.11526479750778816,0.003115264797507788,0.19470404984423675
26396,Josh Smith,1155,259,137,97,23,23,221,0.22424242424242424,0.019913419913419914,0.08398268398268398,0.11861471861471862,0.019913419913419914,0.19134199134199134
26546,Agustin Ramirez,585,124,72,67,21,16,113,0.21196581196581196,0.035897435897435895,0.11452991452991453,0.12307692307692308,0.02735042735042735,0.19316239316239317
26668,Elly De La Cruz,1395,326,207,162,47,104,399,0.23369175627240144,0.03369175627240143,0.11612903225806452,0.14838709677419354,0.07455197132616488,0.2860215053763441
27465,Spencer Torkelson,1333,276,170,172,62,5,340,0.20705176294073518,0.046511627906976744,0.12903225806451613,0.1275318829707427,0.0037509377344336083,0.2550637659414854
27467,Tyler Soderstrom,624,155,75,93,25,8,141,0.2483974358974359,0.04006410256410257,0.14903846153846154,0.1201923076923077,0.01282051282051282,0.22596153846153846
27479,Masyn Winn,1174,281,157,108,24,20,211,0.2393526405451448,0.020442930153321975,0.0919931856899489,0.13373083475298125,0.017035775127768313,0.1797274275979557
27506,Ha-seong Kim,626,140,84,60,17,38,124,0.22364217252396165,0.027156549520766772,0.09584664536741214,0.134185303514377,0.06070287539936102,0.19808306709265175
27615,Alec Burleson,1141,291,125,147,39,14,155,0.25503943908851884,0.03418054338299737,0.12883435582822086,0.10955302366345311,0.012269938650306749,0.13584574934268187
27647,Anthony Volpe,1886,382,217,192,52,70,473,0.20254506892895016,0.027571580063626724,0.10180275715800637,0.11505832449628844,0.03711558854718982,0.2507953340402969
27676,Vinnie Pasquantino,1236,294,136,210,51,2,178,0.23786407766990292,0.0412621359223301,0.16990291262135923,0.11003236245954692,0.0016181229773462784,0.14401294498381878
27769,Pete Crow-Armstrong,647,146,91,95,31,35,155,0.22565687789799072,0.04791344667697063,0.14683153013910355,0.14064914992272023,0.05409582689335394,0.23956723338485317
27899,Colt Keith,556,134,54,61,13,7,110,0.24100719424460432,0.023381294964028777,0.10971223021582734,0.09712230215827339,0.012589928057553957,0.19784172661870503
28163,Junior Caminero,653,159,93,110,45,7,125,0.2434915773353752,0.06891271056661562,0.16845329249617153,0.14241960183767227,0.010719754977029096,0.19142419601837674
28806,Jackson Chourio,1162,293,168,157,42,43,242,0.2521514629948365,0.03614457831325301,0.1351118760757315,0.14457831325301204,0.03700516351118761,0.2082616179001721
29490,Jackson Merrill,593,162,77,90,24,16,101,0.27318718381112983,0.04047217537942664,0.15177065767284992,0.12984822934232715,0.026981450252951095,0.1703204047217538
29518,James Wood,689,153,87,94,31,15,221,0.2220609579100145,0.04499274310595065,0.13642960812772134,0.1262699564586357,0.02177068214804064,0.32075471698113206
29576,Ben Rice,530,119,74,65,26,3,100,0.22452830188679246,0.04905660377358491,0.12264150943396226,0.13962264150943396,0.005660377358490566,0.18867924528301888
29591,Colton Cowser,561,121,77,69,24,9,172,0.21568627450980393,0.0427807486631016,0.12299465240641712,0.13725490196078433,0.016042780748663103,0.3065953654188948
29622,Sal Frelick,1118,275,142,95,14,37,158,0.24597495527728086,0.012522361359570662,0.08497316636851521,0.12701252236135957,0.03309481216457961,0.1413237924865832
29646,Caleb Durbin,506,114,60,53,11,18,50,0.22529644268774704,0.021739130434782608,0.10474308300395258,0.11857707509881422,0.03557312252964427,0.09881422924901186
29695,Matt McLain,577,112,73,50,15,18,167,0.19410745233968804,0.025996533795493933,0.08665511265164645,0.1265164644714038,0.03119584055459272,0.28942807625649913
29715,Hunter Goodman,579,150,73,91,31,1,152,0.25906735751295334,0.0535405872193437,0.15716753022452504,0.12607944732297063,0.0017271157167530224,0.26252158894645944
29766,Zack Gelof,547,105,60,49,17,25,188,0.19195612431444242,0.031078610603290677,0.08957952468007313,0.10968921389396709,0.04570383912248629,0.3436928702010969
29794,Kyle Manzardo,531,110,47,70,27,2,135,0.2071563088512241,0.05084745762711865,0.1318267419962335,0.08851224105461393,0.003766478342749529,0.2542372881355932
29931,Jacob Young,521,120,75,36,3,33,102,0.23032629558541268,0.005758157389635317,0.0690978886756238,0.14395393474088292,0.06333973128598848,0.19577735124760076
30116,Seiya Suzuki,1819,432,224,250,73,27,454,0.23749312809235845,0.040131940626717974,0.13743815283122596,0.12314458493677845,0.014843320505772403,0.24958768554150632
31347,Zach Neto,1156,264,152,139,49,56,289,0.22837370242214533,0.04238754325259515,0.12024221453287197,0.1314878892733564,0.04844290657439446,0.25
31431,Jordan Beck,588,139,62,53,16,19,174,0.23639455782312926,0.027210884353741496,0.09013605442176871,0.1054421768707483,0.03231292517006803,0.29591836734693877
31580,Chase Meidroth,505,114,54,23,5,14,72,0.22574257425742575,0.009900990099009901,0.04554455445544554,0.10693069306930693,0.027722772277227723,0.14257425742574256
31595,Brooks Lee,527,115,50,64,16,3,92,0.21821631878557876,0.030360531309297913,0.12144212523719165,0.09487666034155598,0.0056925996204933585,0.174573055028463
31781,Jackson Holliday,649,142,70,55,17,17,140,0.21879815100154082,0.026194144838212634,0.0847457627118644,0.10785824345146379,0.026194144838212634,0.21571648690292758
31837,Masataka Yoshida,580,155,71,72,15,8,81,0.2672413793103448,0.02586206896551724,0.12413793103448276,0.12241379310344827,0.013793103448275862,0.1396551724137931
33189,Nolan Schanuel,1171,259,126,107,25,15,174,0.22117847993168233,0.02134927412467976,0.09137489325362938,0.107600341588386,0.012809564474807857,0.14859094790777114
33266,Jacob Wilson,523,151,62,63,13,5,39,0.2887189292543021,0.0248565965583174,0.12045889101338432,0.11854684512428298,0.009560229445506692,0.0745697896749522
33333,Wyatt Langford,1130,244,147,136,38,41,266,0.215929203539823,0.033628318584070796,0.12035398230088495,0.13008849557522123,0.036283185840707964,0.23539823008849559
33824,Jung Hoo Lee,617,149,73,55,8,10,71,0.24149108589951376,0.012965964343598054,0.08914100486223663,0.11831442463533225,0.01620745542949757,0.11507293354943274
