IDfg,Name,PA,H,R,RBI,HR,SB,SO,Base_Hit_Rate,Base_HR_Rate,Base_RBI_Rate,Base_R_Rate,Base_SB_Rate,Base_K_Rate
15518,Amed Rosario,545,134,70,58,6,15,99,0.24587155963302754,0.011009174311926606,0.10642201834862386,0.12844036697247707,0.027522935779816515,0.181651376146789
15640,Aaron Judge,1383,359,259,258,111,22,331,0.25958062183658714,0.08026030368763558,0.18655097613882862,0.18727404193781635,0.015907447577729574,0.2393347794649313
15653,Dominic Smith,586,134,57,46,12,1,91,0.22866894197952217,0.020477815699658702,0.07849829351535836,0.09726962457337884,0.0017064846416382253,0.1552901023890785
15676,Jose Abreu,594,128,62,90,18,0,130,0.21548821548821548,0.030303030303030304,0.15151515151515152,0.10437710437710437,0.0,0.21885521885521886
15986,Willy Adames,2012,406,260,279,86,38,517,0.20178926441351888,0.042743538767395624,0.1386679920477137,0.12922465208747516,0.018886679920477135,0.25695825049701787
15998,Cody Bellinger,1781,450,256,273,73,42,266,0.25266704098820886,0.04098820887142055,0.15328467153284672,0.1437394722066255,0.023582257158899493,0.1493542953396968
16219,J.D. Davis,546,119,61,69,18,1,152,0.21794871794871795,0.03296703296703297,0.12637362637362637,0.11172161172161173,0.0018315018315018315,0.2783882783882784
16252,Trea Turner,1869,498,284,207,62,85,355,0.2664526484751204,0.03317281968967362,0.11075441412520064,0.15195291599785982,0.0454788657035848,0.18994114499732478
16426,Thairo Estrada,530,134,63,49,14,23,120,0.2528301886792453,0.026415094339622643,0.09245283018867924,0.11886792452830189,0.04339622641509434,0.22641509433962265
16442,Ryan O'Hearn,544,133,67,63,17,3,109,0.24448529411764705,0.03125,0.11580882352941177,0.12316176470588236,0.0055147058823529415,0.20036764705882354
16472,Rhys Hoskins,517,96,59,82,26,3,149,0.18568665377176016,0.05029013539651837,0.15860735009671179,0.11411992263056092,0.005802707930367505,0.28820116054158607
16478,Kyle Schwarber,2136,402,329,340,141,15,609,0.18820224719101122,0.06601123595505617,0.15917602996254682,0.1540262172284644,0.007022471910112359,0.2851123595505618
16505,Matt Chapman,1763,369,240,193,65,28,449,0.20930232558139536,0.0368689733408962,0.10947249007373795,0.13613159387407828,0.01588201928530913,0.2546795235394214
16556,Ozzie Albies,1327,312,170,183,49,27,201,0.2351168048229088,0.03692539562923888,0.13790504898266767,0.1281085154483798,0.020346646571213264,0.15146948003014318
16578,Yandy Diaz,1872,506,229,226,61,3,281,0.2702991452991453,0.03258547008547009,0.12072649572649573,0.12232905982905982,0.0016025641025641025,0.1501068376068376
16939,Lane Thomas,1210,280,166,149,43,52,313,0.23140495867768596,0.03553719008264463,0.1231404958677686,0.1371900826446281,0.04297520661157025,0.25867768595041324
16997,Gleyber Torres,1965,450,249,205,56,21,335,0.22900763358778625,0.028498727735368958,0.10432569974554708,0.1267175572519084,0.010687022900763359,0.17048346055979643
17027,Alex Verdugo,1223,274,155,115,26,7,186,0.22403924775143091,0.02125919869174162,0.09403107113654947,0.1267375306623058,0.005723630417007359,0.15208503679476695
17338,Willi Castro,635,138,89,60,12,14,150,0.2173228346456693,0.01889763779527559,0.09448818897637795,0.14015748031496064,0.02204724409448819,0.23622047244094488
17350,Rafael Devers,1986,453,276,292,96,9,465,0.2280966767371601,0.04833836858006042,0.1470292044310171,0.13897280966767372,0.004531722054380665,0.23413897280966767
17548,Taylor Ward,1326,276,159,178,61,10,338,0.2081447963800905,0.04600301659125189,0.13423831070889894,0.11990950226244344,0.007541478129713424,0.2549019607843137
17620,Myles Straw,518,110,52,29,1,20,97,0.21235521235521235,0.0019305019305019305,0.055984555984555984,0.10038610038610038,0.03861003861003861,0.18725868725868725
17678,Alex Bregman,1358,314,182,173,51,6,173,0.23122238586156113,0.03755522827687776,0.12739322533136965,0.13402061855670103,0.004418262150220913,0.12739322533136965
17901,Andrew Benintendi,1143,256,122,109,25,16,185,0.22397200349956256,0.021872265966754154,0.09536307961504811,0.10673665791776028,0.01399825021872266,0.16185476815398075
17907,Brendan Rodgers,539,134,67,54,13,1,132,0.24860853432282004,0.02411873840445269,0.10018552875695733,0.12430426716141002,0.0018552875695732839,0.24489795918367346
